n_samples,sample_mean
20,3970.6
20,3296.55
20,4063.35
20,4433.35
20,4232.45
20,2656.5
20,3457.45
20,2785.1
20,3375.55
20,3871.4
20,3903
20,3081
20,2895.7
20,3372.85
20,3998.5
20,3079.1
20,2244.65
20,3660.35
20,2293.45
20,3569.25
20,3299.85
20,3685.1
20,3094.8
20,3411.45
20,3999.05
20,3623.65
20,4021.6
20,3941.45
20,4336.3
20,3554.25
20,3112.15
20,3642.1
20,3327.7
20,2906.1
20,3359
20,2751.7
20,3428.25
20,2950.65
20,3559.9
20,3311
20,3102
20,4049.75
20,4765
20,3711.3
20,3670.45
20,4084
20,3870.85
20,5441.9
20,3169.15
20,3446.9
20,3043.1
20,3462.7
20,2876.7
20,2980.35
20,3941
20,3321.1
20,3193.2
20,2726.55
20,3452.85
20,3013.8
20,2481.8
20,2762.6
20,3225.25
20,2921.55
20,3071.2
20,2697.1
20,3605.4
20,3543.6
20,3775.95
20,3591.9
20,2783.85
20,3387.05
20,3589.8
20,2691.35
20,2507.45
20,4129.5
20,3304.45
20,2724.15
20,5187.35
20,2954.55
20,4241
20,4076.45
20,3011.2
20,4991.9
20,3683.05
20,2725.15
20,3089.8
20,4032.5
20,2516.2
20,3564.4
20,4553.7
20,2747.4
20,4938.3
20,4185.4
20,4767.25
20,2672.3
20,3716.45
20,3818.9
20,3430.1
20,3680.45
20,3005.6
20,2947.45
20,3805.8
20,2995.2
20,3487.25
20,2590.95
20,3165.9
20,4776.3
20,4024.4
20,3023
20,3298.35
20,3124.8
20,3648.65
20,4535.95
20,3619.85
20,2645.6
20,3858.4
20,3226.7
20,3747.25
20,5116.55
20,3291.05
20,2963.5
20,4114.6
20,3669.7
20,3724
20,3247.15
20,4056.8
20,3966.5
20,4115.95
20,3944.05
20,3606.8
20,2934.9
20,2426.8
20,2607.55
20,3771.45
20,2939.55
20,3493.8
20,3909.45
20,3941.3
20,4460.25
20,2472.85
20,3836.1
20,2800.15
20,2988.05
20,4346.25
20,3708.5
20,3318.1
20,2857.15
20,4576.35
20,2796
20,3317.4
20,3785.6
20,3534.2
20,4600.95
20,3199.1
20,3676.35
20,3484.55
20,3217.55
20,3200.3
20,3651.95
20,3281.5
20,3872.5
20,4339.55
20,3288.95
20,3300.5
20,4782.55
20,3697
20,4238.3
20,4225.35
20,4167.6
20,3882.4
20,3034.25
20,4093.65
20,3966.3
20,2878.15
20,4426.1
20,3379.75
20,3549.6
20,3659.55
20,4273.6
20,3718.5
20,2595.7
20,2997.85
20,4684.25
20,3565
20,2720.4
20,4050.75
20,3740.75
20,5055.5
20,3414.6
20,3014.45
20,3505.9
20,3410.7
20,4266.45
20,3107.15
20,3562.05
20,3361.55
20,3656.6
20,3580.4
20,3687.95
20,3951.4
20,3974.2
20,3288.45
20,3033.4
20,3176.95
20,3142.35
20,2289.95
20,3239.45
20,2581.4
20,3163.35
20,4127.15
20,3166.1
20,3659.05
20,3189.5
20,3372
20,2940.9
20,4384.6
20,3797.05
20,2525.75
20,3149.3
20,3459.55
20,3455.35
20,4198.35
20,4928.3
20,3136.2
20,3493.85
20,2788.45
20,3875.85
20,4528.7
20,3450.25
20,4852.5
20,3590.9
20,2400.6
20,3787.1
20,2526.05
20,3943.3
20,3750.1
20,3188.6
20,3171.4
20,3659.3
20,3149.05
20,3158.8
20,3356.85
20,3449.95
20,3991.7
20,3618.5
20,2972
20,3649.05
20,3424.2
20,4254
20,2375.15
20,2589.25
20,4717.3
20,4154.95
20,3164
20,3443.65
20,3934.9
20,3756.6
20,4168.3
20,3261.6
20,3044.95
20,3862.8
20,2836
20,4383.85
20,3791.65
20,4716.25
20,3852.6
20,2923.4
20,3583.2
20,4583.35
20,3345.25
20,2618.85
20,3303.3
20,2877.3
20,3212.5
20,3986
20,2958.9
20,4589.4
20,3574.55
20,3344
20,3459.5
20,4382.65
20,2815.2
20,4003.55
20,4136.45
20,4475.65
20,3329.25
20,3997.2
20,3159.3
20,3135.65
20,3081.3
20,2915.9
20,3109.4
20,3770.15
20,4712.35
20,3686.3
20,3903.6
20,2649.6
20,4247.6
20,4258.4
20,3315.45
20,4205.5
20,3910.05
20,4526.85
20,3967.05
20,3623.9
20,2536.55
20,4050.7
20,2863.85
20,3271.5
20,4330.75
20,3983.45
20,2890.1
20,3840.05
20,3840.65
20,2850.25
20,3007.6
20,4746
20,3356.7
20,2998.1
20,3662.35
20,3904.55
20,3938.3
20,4020.35
20,2506.55
20,3295.95
20,3593.4
20,4381
20,2615.2
20,3532.65
20,3321.3
20,3505.8
20,3490.85
20,2744.4
20,2941.85
20,3808.4
20,3180.6
20,3794.85
20,3520.05
20,4292.1
20,2701.25
20,3190.4
20,3523.75
20,3952.15
20,2733.1
20,3396.45
20,3453.8
20,4273.5
20,3638.7
20,3231.35
20,3445.55
20,3362.5
20,3837.65
20,3397.4
20,4058.5
20,4291
20,2540.65
20,3610.15
20,3646.15
20,3174
20,3402.8
20,3087.2
20,3020
20,3372.55
20,2753.4
20,3102.4
20,2595.55
20,3191.4
20,3473.85
20,3892.85
20,3795
20,2710.1
20,3667.5
20,4415.55
20,3773
20,3577.5
20,5076.1
20,2906.95
20,3927.45
20,3490.35
20,3605.4
20,2901.95
20,3438.4
20,3466.1
20,3070.6
20,2953
20,5049.05
20,3309.65
20,2840.55
20,2917.55
20,3114.7
20,3255.15
20,2932.35
20,4198.2
20,3522.8
20,3050.9
20,3275.15
20,3675.85
20,3810.25
20,3308.05
20,3176
20,3109.05
20,4331.2
20,3969.5
20,3979.9
20,3787.1
20,4055.25
20,3640.75
20,3467.5
20,3477.65
20,3700.8
20,2826.5
20,3130.8
20,3543.7
20,3235.25
20,4149.3
20,2976.15
20,3153.05
20,4020.6
20,3410.3
20,4304.65
20,2780.25
20,2902.85
20,3111.15
20,2990.25
20,3851.55
20,3179
20,2571.6
20,3452.15
20,3977.2
20,3009.3
20,4918.1
20,3374.7
20,3334.4
20,3813.65
20,2832.75
20,4243.7
20,3600.05
20,2883.65
20,3319.9
20,3585.1
20,4245.05
20,3646.15
20,3305.3
20,2808.65
20,3922
20,2763.1
20,5125.95
20,3782.9
20,2948.4
20,3483.75
20,3445.65
20,3113.75
20,4474.4
20,2785.95
20,2921.55
20,4604.4
20,4196.75
20,3696.75
20,3710.3
20,3061.6
20,4007.3
20,3521.15
20,3528.55
20,2951.85
20,3675.6
20,3366.45
20,2641.2
20,3335.9
20,3562.4
20,4071.7
20,3920
20,4082.25
20,2961
20,3267.4
20,3742.2
20,2746
20,3110.1
20,4393.35
20,4953.65
20,3734.05
20,3070.55
20,3050.6
20,3819.15
20,3238
20,3606.5
20,3818.7
20,4565.55
20,2853.65
20,2488.7
20,2969.1
20,4238.75
20,3728.2
20,3762.05
20,3783.85
20,3362.35
20,3018.2
20,3145.8
20,3849.65
20,3084.6
20,3827.2
20,2583.8
20,4463.1
20,2966.3
20,3622.75
20,2141.65
20,3195.7
20,3826.15
20,2729.1
20,3758.1
20,4185.75
20,3459.45
20,3871.9
20,4155.2
20,3198.05
20,2736.75
20,3689.35
20,3471.4
20,3692.25
20,2821.15
20,3534.4
20,4093.2
20,3668.6
20,4177.95
20,3203.5
20,3072.35
20,2511.35
20,3565.05
20,3539.85
20,3397.95
20,3317.25
20,3379.95
20,2688.1
20,3468.9
20,3700.85
20,2666.25
20,4240.85
20,2764.85
20,4010.5
20,4136.8
20,3894.7
20,4275.5
20,3872.55
20,2907.55
20,4435.25
20,2800.1
20,4135
20,3130.7
20,4305.5
20,3648.2
20,3537.4
20,3125.65
20,2806.45
20,2238.2
20,3035.5
20,3752.3
20,3619.3
20,2828.95
20,3397.7
20,3066.25
20,2977.75
20,3677.25
20,3958.35
20,3144.75
20,3042.35
20,2941.55
20,2970.95
20,4195.4
20,3426.1
20,4406.15
20,3795.15
20,2449.75
20,3133.7
20,3454.75
20,3549.35
20,3262
20,3918.7
20,3575.05
20,3354.1
20,2623.75
20,3123.2
20,4097.6
20,3900.65
20,3233.3
20,5664.4
20,3015.4
20,3397.65
20,3839.15
20,2953.05
20,3994.85
20,3956.25
20,4885.65
20,3931.2
20,3255.8
20,3287.7
20,2749.6
20,3500.35
20,3764.75
20,3108.4
20,4420.75
20,3678.1
20,3274.05
20,2610.45
20,2839.55
20,3308.45
20,3561.95
20,3975.55
20,3405
20,3264.9
20,2565.45
20,3884.25
20,3037.55
20,3379.8
20,3245.9
20,2771.5
20,3492.7
20,4138.95
20,3594.65
20,3693.15
20,3275.95
20,2866.55
20,2907.1
20,3227.65
20,2701.7
20,3481
20,2704.35
20,3928.9
20,3906.3
20,3062.25
20,2968
20,3018.65
20,3319.85
20,4271.25
20,3757.7
20,3712.25
20,3137.5
20,4315.45
20,4442.15
20,3559.45
20,5281.3
20,3153.7
20,4218.5
20,4086.9
20,3252.35
20,3069.75
20,3050.25
20,4065
20,2712.2
20,3636.75
20,2863.75
20,3556.2
20,3123.9
20,3996.3
20,2657.15
20,3928.55
20,3687.7
20,3039.05
20,4065.55
20,3587.25
20,4586.1
20,4022.85
20,5477.5
20,2708.15
20,3532.25
20,3885.95
20,3408.45
20,2977.05
20,3446.1
20,2830.35
20,3681.75
20,3469.3
20,3623
20,3759.15
20,3707.65
20,2173.5
20,3952.75
20,4018.9
20,3155.65
20,3436.8
20,4293.2
20,3497.8
20,2758.35
20,3052.15
20,4758.5
20,3129.35
20,3767.15
20,3548.45
20,2972.15
20,4130.35
20,3287.2
20,3945
20,4523.25
20,3935.9
20,5499.4
